#{"t_start": 1757778046.0638654, "env_id": "None"}
r,l,t
-12.145408,96,110.139778
-11.507185,96,179.851838
-12.538837,96,252.302386
-13.240041,96,320.285011
-10.735288,96,390.859036
-11.173181,96,460.239622
-9.12324,96,530.240218
-9.640486,96,600.052891
-10.060354,96,669.442981
-11.104764,96,739.354447
-8.939937,96,809.23497
-9.452883,96,880.626753
-9.285403,96,961.286015
-8.70495,96,1048.535057
-9.918343,96,1121.380021
-9.49026,96,1194.045571
-8.800747,96,1264.918649
-8.74405,96,1334.493962
-10.786001,96,1405.612414
-8.171609,96,1476.681141
-7.924597,96,1545.867941
-7.756299,96,1617.457819
-7.902108,96,1688.30587
-8.925269,96,1761.956081
-6.476507,96,1830.644044
-7.49891,96,1903.256341
-8.113341,96,1984.493045
-7.166507,96,2071.221005
-6.383808,96,2139.139553
-7.83216,96,2212.359376
-6.470479,96,2280.575013
-8.206775,96,2348.995548
-7.050417,96,2436.266564
-7.200486,96,2530.219622
-6.799817,96,2610.832418
-6.31421,96,2688.935796
-7.190333,96,2781.026923
-6.747274,96,2872.465181
-7.838733,96,2963.68625
-6.296571,96,3056.489237
-6.377937,96,3147.556695
-6.464878,96,3232.246224
-7.293209,96,3300.861419
-6.451648,96,3371.203032
-6.584585,96,3448.970329
-6.879376,96,3540.920319
-7.412722,96,3618.904282
-6.351687,96,3713.39033
-6.599907,96,3808.328976
-6.147111,96,3902.675792
-7.127846,96,3996.745831
-5.912304,96,4091.697402
-6.744866,96,4186.412931
-6.87014,96,4268.363234
-6.667088,96,4336.452714
-7.091064,96,4407.330199
-5.886718,96,4476.789838
-6.462993,96,4546.3469
-6.040281,96,4615.256322
-6.770729,96,4684.228171
-7.058076,96,4753.02181
-5.851405,96,4821.996161
-6.681105,96,4889.532334
-6.64495,96,4956.721449
-6.692616,96,5024.994509
-6.27897,96,5095.059668
-7.26117,96,5164.575534
-7.404881,96,5228.422772
-5.854151,96,5291.277719
-7.295227,96,5356.773689
-6.206069,96,5423.552052
-6.018848,96,5490.454458
-7.12898,96,5559.477511
-6.199535,96,5628.42231
-5.795085,96,5698.978321
-6.854482,96,5768.541886
-6.310078,96,5838.062182
-5.196226,96,5931.202498
-7.234303,96,6025.375818
-6.275241,96,6119.639168
-5.946198,96,6214.536526
-5.854147,96,6296.520379
-6.074473,96,6386.856643
-5.644339,96,6479.330299
-5.96295,96,6570.69206
-6.644342,96,6665.20178
-5.706171,96,6774.008486
-5.41987,96,6883.167727
-5.406393,96,6992.369814
-6.556624,96,7102.367716
-5.174502,96,7211.376129
-4.501969,96,7320.800374
-5.389149,96,7429.985611
-6.211388,96,7538.978929
-5.569854,96,7648.599085
-5.110007,96,7757.948223
-6.420931,96,7866.843755
-5.302553,96,7976.017466
-5.07062,96,8085.340449
-5.753148,96,8193.927256
-4.8358,96,8544.950315
-5.043792,96,8656.399276
-5.61766,96,8767.82246
-4.683694,96,8879.206713
-5.357326,96,8990.324832
-6.245225,96,9101.852703
-6.32027,96,9213.4005
-4.220666,96,9324.828543
-5.140329,96,9437.038338
-6.139358,96,9548.933665
-5.444605,96,9660.328373
-4.931965,96,9772.506512
-5.219571,96,9859.883741
-5.813687,96,9953.636815
-4.674997,96,10046.469726
-6.401577,96,10139.073865
-5.300204,96,10232.585171
-5.475148,96,10325.450795
-5.804752,96,10418.131742
-4.811652,96,10511.450786
-5.673085,96,10604.627717
-5.954144,96,10697.292864
-5.893936,96,10790.266021
-5.819076,96,10883.449501
-5.716924,96,10976.919806
-5.423642,96,11069.909344
-5.211257,96,11162.993356
-4.749209,96,11255.92466
-5.92898,96,11348.321769
-4.977748,96,11440.431275
-4.500438,96,11503.251562
-5.12535,96,11565.149231
-5.913792,96,11627.200377
-5.131103,96,11689.609559
-5.53113,96,11753.48924
-5.025274,96,11816.069056
-5.113646,96,11878.35242
-5.011775,96,11942.546141
-5.2155,96,12007.613625
-4.999798,96,12073.827672
-5.830139,96,12140.726061
-5.276612,96,12207.41095
-5.379321,96,12273.527005
-5.180267,96,12339.026035
-5.279046,96,12405.715847
-6.209576,96,12471.551297
-4.813837,96,12537.411859
-4.577547,96,12603.676713
-4.836793,96,12669.369771
-4.462771,96,12735.382899
-4.330665,96,12801.281975
-4.795262,96,12867.027376
-4.655066,96,12932.816136
-5.242252,96,12998.95757
-4.948457,96,13065.600813
-5.294771,96,13131.450535
-5.393417,96,13197.32802
-5.026697,96,13263.268302
-4.288822,96,13329.165492
-4.062507,96,13396.06109
-4.954433,96,13462.26257
-4.317745,96,13528.480844
-4.696472,96,13594.839391
-3.788418,96,13660.818124
-5.302936,96,13726.968389
-5.155132,96,13792.899571
-4.714153,96,13858.636426
-4.631018,96,13924.977217
-4.377937,96,13990.909111
-4.353892,96,14058.936317
-5.014487,96,14130.097279
-4.273184,96,14227.025819
-3.278056,96,14323.278085
-3.927919,96,14419.441697
