action,reward,terminated,truncated,info
[ 0.5147455  -0.5774006  -0.7838855  -0.19128089],0.05022680262461876,False,False,"{'iteration': 1, 'timestep': Timestamp('2015-07-27 21:00:00'), 'reward': 0.05022680262461876}"
[ 0.59282494 -0.65239096 -0.8731916  -0.36280966],-1.9115307841353082,False,False,"{'iteration': 2, 'timestep': Timestamp('2015-07-27 21:15:00'), 'reward': -1.9115307841353082}"
[ 0.64654875 -0.6872039  -0.9094453  -0.47433457],-3.5656277752646677,False,False,"{'iteration': 3, 'timestep': Timestamp('2015-07-27 21:30:00'), 'reward': -3.5656277752646677}"
[ 0.681842   -0.69801784 -0.91371655 -0.5387307 ],-3.5546259200508703,False,False,"{'iteration': 4, 'timestep': Timestamp('2015-07-27 21:45:00'), 'reward': -3.5546259200508703}"
[ 0.714197   -0.7068475  -0.9122576  -0.59427893],-3.6461183470076626,False,False,"{'iteration': 5, 'timestep': Timestamp('2015-07-27 22:00:00'), 'reward': -3.6461183470076626}"
[ 0.7480148  -0.718476   -0.90830123 -0.6484399 ],-3.801838251629289,False,False,"{'iteration': 6, 'timestep': Timestamp('2015-07-27 22:15:00'), 'reward': -3.801838251629289}"
[ 0.7829527  -0.73043627 -0.90356517 -0.7007563 ],-5.057702256005275,False,False,"{'iteration': 7, 'timestep': Timestamp('2015-07-27 22:30:00'), 'reward': -5.057702256005275}"
[ 0.8164354  -0.741364   -0.88850355 -0.7391659 ],-5.701347507804627,False,False,"{'iteration': 8, 'timestep': Timestamp('2015-07-27 22:45:00'), 'reward': -5.701347507804627}"
[ 0.8499631  -0.7529325  -0.87731326 -0.77472776],-6.0780613179089675,False,False,"{'iteration': 9, 'timestep': Timestamp('2015-07-27 23:00:00'), 'reward': -6.0780613179089675}"
[ 0.88363445 -0.7663207  -0.8650887  -0.8019999 ],-6.439513947702768,False,False,"{'iteration': 10, 'timestep': Timestamp('2015-07-27 23:15:00'), 'reward': -6.439513947702768}"
[ 0.91374606 -0.77663577 -0.84985006 -0.8247523 ],-6.769640967586527,False,False,"{'iteration': 11, 'timestep': Timestamp('2015-07-27 23:30:00'), 'reward': -6.769640967586527}"
[ 0.9491245  -0.7892984  -0.83626294 -0.84908926],-7.152034844232169,False,False,"{'iteration': 12, 'timestep': Timestamp('2015-07-27 23:45:00'), 'reward': -7.152034844232169}"
[ 0.9805104  -0.8003204  -0.82020855 -0.8677927 ],-7.511283295675089,False,False,"{'iteration': 13, 'timestep': Timestamp('2015-07-28 00:00:00'), 'reward': -7.511283295675089}"
[ 1.        -0.8142478 -0.8132555 -0.8828966],-7.729649100282226,False,False,"{'iteration': 14, 'timestep': Timestamp('2015-07-28 00:15:00'), 'reward': -7.729649100282226}"
[ 1.        -0.8258281 -0.8048496 -0.8907929],-7.809746958335211,False,False,"{'iteration': 15, 'timestep': Timestamp('2015-07-28 00:30:00'), 'reward': -7.809746958335211}"
[ 1.         -0.83649415 -0.79595065 -0.8999747 ],-7.83850985477456,False,False,"{'iteration': 16, 'timestep': Timestamp('2015-07-28 00:45:00'), 'reward': -7.83850985477456}"
[ 1.         -0.84615195 -0.7834904  -0.9057449 ],-7.954646845821493,False,False,"{'iteration': 17, 'timestep': Timestamp('2015-07-28 01:00:00'), 'reward': -7.954646845821493}"
[ 1.         -0.8535206  -0.77691114 -0.90619755],-8.13423176488281,False,False,"{'iteration': 18, 'timestep': Timestamp('2015-07-28 01:15:00'), 'reward': -8.13423176488281}"
[ 1.        -0.8651793 -0.7735405 -0.9043393],-8.165951972712207,False,False,"{'iteration': 19, 'timestep': Timestamp('2015-07-28 01:30:00'), 'reward': -8.165951972712207}"
[ 1.         -0.876709   -0.77372056 -0.8902429 ],-8.136277317528751,False,False,"{'iteration': 20, 'timestep': Timestamp('2015-07-28 01:45:00'), 'reward': -8.136277317528751}"
[ 1.         -0.89848775 -0.77988607 -0.8801402 ],-8.097052737033838,False,False,"{'iteration': 21, 'timestep': Timestamp('2015-07-28 02:00:00'), 'reward': -8.097052737033838}"
[ 1.         -0.912886   -0.7838974  -0.86302906],-7.999922286738856,False,False,"{'iteration': 22, 'timestep': Timestamp('2015-07-28 02:15:00'), 'reward': -7.999922286738856}"
[ 1.         -0.9362457  -0.80222976 -0.84265184],-7.894176296361293,False,False,"{'iteration': 23, 'timestep': Timestamp('2015-07-28 02:30:00'), 'reward': -7.894176296361293}"
[ 1.         -0.95491695 -0.81141573 -0.8245915 ],-7.772276804861354,False,False,"{'iteration': 24, 'timestep': Timestamp('2015-07-28 02:45:00'), 'reward': -7.772276804861354}"
[ 1.         -0.9688219  -0.8275669  -0.80973184],-7.633250525233089,False,False,"{'iteration': 25, 'timestep': Timestamp('2015-07-28 03:00:00'), 'reward': -7.633250525233089}"
[ 1.        -0.978681  -0.8356298 -0.7945055],-7.45025315498159,False,False,"{'iteration': 26, 'timestep': Timestamp('2015-07-28 03:15:00'), 'reward': -7.45025315498159}"
[ 1.         -0.9793603  -0.8441583  -0.78624105],-7.189805300713431,False,False,"{'iteration': 27, 'timestep': Timestamp('2015-07-28 03:30:00'), 'reward': -7.189805300713431}"
[ 1.         -0.9736682  -0.84905165 -0.784423  ],-6.857073573146537,False,False,"{'iteration': 28, 'timestep': Timestamp('2015-07-28 03:45:00'), 'reward': -6.857073573146537}"
[ 1.         -0.96447605 -0.8503511  -0.7855748 ],-6.497852861763218,False,False,"{'iteration': 29, 'timestep': Timestamp('2015-07-28 04:00:00'), 'reward': -6.497852861763218}"
[ 1.         -0.9502574  -0.84713376 -0.7961186 ],-6.139764075292972,False,False,"{'iteration': 30, 'timestep': Timestamp('2015-07-28 04:15:00'), 'reward': -6.139764075292972}"
[ 1.         -0.9321433  -0.83982795 -0.81279445],-5.776483436741678,False,False,"{'iteration': 31, 'timestep': Timestamp('2015-07-28 04:30:00'), 'reward': -5.776483436741678}"
[ 1.         -0.90426445 -0.82965255 -0.8310846 ],-5.575312264509804,False,False,"{'iteration': 32, 'timestep': Timestamp('2015-07-28 04:45:00'), 'reward': -5.575312264509804}"
[ 1.         -0.87564063 -0.8185218  -0.85736775],-5.425191891173088,False,False,"{'iteration': 33, 'timestep': Timestamp('2015-07-28 05:00:00'), 'reward': -5.425191891173088}"
